StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q4,Q5,Q6,Q6_10_TEXT,Q7,Q7_5_TEXT,Q8,Q9,Q9_12_TEXT,Q10,Q11,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"How do you feel about our church’s mission? 
Memorial Lutheran Church and Student Center is people who share God’s love and the message of His salvation with ISU students, internationals, families, singles, and people of all ages, enabling them to learn and grow by the grace of Jesus Christ. Memorial Lutheran is a ministry of the Lutheran Church-Missouri Synod (LCMS).","What do you look forward to most about coming to church at Memorial? 
Mark all that apply. - Selected Choice","What do you look forward to most about coming to church at Memorial? 
Mark all that apply. - Other (Please describe) - Text",Which church service do you normally attend?,Do you feel spiritually fed after services?,"Do you feel connected to our Memorial church community including other parishioners, clergy and staff?",What things make you feel a connection to others at Memorial? (Check all that apply) - Selected Choice,What things make you feel a connection to others at Memorial? (Check all that apply) - Other - Text,Which styles of music do you feel most connected to during worship service? (check all that apply) - Selected Choice,Which styles of music do you feel most connected to during worship service? (check all that apply) - Other - Text,"We value Memorial's young children and strive to help them grow in the love of Christ.  We would like to know if there are ways we can enhance our Sunday School programming, youth programming and Confirmation classes?",What aspects of our church would you like to see prioritized in the next 3-5 years?  Please select 2-3 - Selected Choice,What aspects of our church would you like to see prioritized in the next 3-5 years?  Please select 2-3 - Other (please explain) - Text,In which age range do you fall?,How long have you been associated with our church?,We welcome any additional thoughts or ideas you’d like to share to help Memorial continue to grow and thrive.
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_10_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_12_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}"
2025-10-19 09:38:55,2025-10-19 09:42:33,IP Address,140.248.30.156,100,217,True,2025-10-19 09:42:33,R_64UkuuH1Ds25cDT,,,,,41.2612,-95.9354,qr,EN,Satisfied," Worship,Spiritual Message,Other (Please describe)",Absolution/Eucharist,Sunday 11 am,Always,Sometimes,Music groups,,"Traditional organ music,Instrumental music",,,"Bible Studies,Campus Ministry,Outreach,Young adult ministry",,"20-29 ","1-5 years ",
2025-10-19 09:28:33,2025-10-19 09:56:07,IP Address,152.117.104.253,100,1653,True,2025-10-19 09:56:07,R_6RVsujRNKTLa0Zl,,,,,45.0636,-93.2985,qr,EN,Neither satisfied nor dissatisfied,Fellowship,,Saturday 5 pm,Rarely,Sometimes,"Family Events,Volunteering for service projects",,"Traditional organ music,Instrumental music",,,"Young Family Programming,Campus Ministry,Ministry to international students and families",,"50-59 ","Over 20 years ",
2025-10-19 09:46:41,2025-10-19 09:59:35,IP Address,174.228.36.189,100,774,True,2025-10-19 09:59:36,R_3v6BKrAzxDNwdrT,,,,,41.675,-93.7016,qr,EN,Satisfied," Worship,Spiritual Message",,Sunday 8:30 am,Usually,Always,"Bible Studies,Volunteering for service projects",,"Traditional organ music,Live performances",,,"Sunday School Programming,Youth Programming,Young Family Programming",,"50-59 ","Over 20 years ",Acquiring and retaining young families will be important for our church long term growth and success    Getting teens more involved is important.  Offering activities that makes youths want to invite their friends to church will be important
2025-10-19 10:14:42,2025-10-19 10:15:52,IP Address,174.198.70.231,100,69,True,2025-10-19 10:15:52,R_7dGTh8PZN2F2RH2,,,,,41.2884,-95.9972,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Family Events",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,,,,,
2025-10-19 10:13:07,2025-10-19 10:19:14,IP Address,172.58.10.124,100,366,True,2025-10-19 10:19:15,R_62m4OISVKnlCXL3,,,,,45.0546,-93.2566,qr,EN,Very satisfied," Worship,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Other",Connecting with other parents of children in Sunday school,"Traditional organ music,Instrumental music,Live performances",,"More youth singing performances (not just the littlest ones). ","Sunday School Programming,Ministry to international students and families,Young adult ministry",,"40-49 ","6-10 years ",
2025-10-19 10:16:09,2025-10-19 10:31:09,IP Address,174.198.70.231,100,900,True,2025-10-19 10:31:10,R_5myYhTxXtDq1U7l,,,,,41.2884,-95.9972,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Family Events",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,"Having more prepared music and Sunday school lessons. I feel the content is there but organization lacks. I feel students would be more cooperative if the teachers were more prepared and organized. ","Sunday School Programming,Youth Programming,Young Family Programming",,"20-29 ","6-10 years ",
2025-10-19 09:41:54,2025-10-19 11:20:14,IP Address,174.215.243.245,100,5900,True,2025-10-19 11:20:15,R_1JVZFH3kjybQrgG,,,,,41.2612,-95.9354,qr,EN,Very satisfied," Worship,Fellowship",,Sunday 8:30 am,Always,Usually,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Soup Suppers,Music groups",,"Traditional organ music,Instrumental music",,,"Sunday School Programming,Youth Programming,Young Family Programming",,"20-29 ","6-10 years ",I’d love to see more intergenerational events/initiatives in the congregation.
2025-10-19 13:58:51,2025-10-19 14:01:56,IP Address,208.38.228.17,100,185,True,2025-10-19 14:01:57,R_3e2UcPeADnICI5A,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship",,Sunday 8:30 am,Usually,Sometimes,"Bible Studies,Sunday School/Confirmation/Youth Programming,Soup Suppers,Volunteering for service projects,Outreach from staff/members",,Traditional organ music,,"I think Memorials Sunday school volunteers are doing an amazing job! I wish I had time myself to volunteer, but I'm maxed out as Vice President of our elementary school PTO, a board member of the Iowa Wildlife center, soccer and basketball coach for their teams.. So I appreciate the efforts of others to teach our kids at Sunday School immensely.  ","Sunday School Programming,Youth Programming,Bible Studies",,"40-49 ","11-15 years ",Thank you for conducting a survey.
2025-10-19 14:03:37,2025-10-19 14:13:18,IP Address,208.38.228.17,100,581,True,2025-10-19 14:13:18,R_3CrzzpPsEXUaApz,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message",,Sunday 8:30 am,Usually,Sometimes,"Bible Studies,Sunday School/Confirmation/Youth Programming,Family Events,Volunteering for service projects,Outreach from staff/members",,"Traditional organ music,Contemporary music,Instrumental music,Live performances,Other",Interactive,"The guitar and piano music is fabulous.  The children enjoy what currently occurs. The older would prefer more learning.  Opportunity for service projects together (such as planting flowers) is great.  More opportunity to create crafts for others - elderly or hospitalized would be more impactful as children don't need more things at home, rather an opportunity to give to others is appreciated. ","Sunday School Programming,Youth Programming,Young Family Programming,Bible Studies,Ministry to international students and families,Mission work/support,Ministry to retirees,Other (please explain)","small group for parent while children are in SS - just 1 or 2 questions, not so in depth.  Service/outreach with children and families to nursing homes, unhoused, etc.","40-49 ","11-15 years ","Enhanced opportunity to connect with others, more intimately, smaller scale, i.e. pair families, 2-3 for a monthly dinner/potluck.  Have elderely members sit with a young family as an additional connection.  Support families/individuals for a one time service opportunity for example make a meal/drop by visitor/write notes for those experiencing a death in the family, sickness or illnes, lonliness, etc.  2.  Have some more physical/wellness activities periodically - yoga, pool swim, dance class, walking groups, reserve a gym for a couple of hours, etc.
3,  Provide gift cards to the Starbucks for a small bible study/talk with parents of young families while their kids are at Sunday school.  1 or 2 questions prompts or verses to discuss in small groups.  Make it easy - pull prompt from a jar- have a leader with a gift card, go and make it happen."
2025-10-19 14:13:41,2025-10-19 14:14:49,IP Address,208.38.228.17,100,68,True,2025-10-19 14:14:50,R_6rGNuBlbms9Bd7M,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Sunday School/Student Fellowship",,Sunday 8:30 am,Always,Always,"Bible Studies,Congregational Meals,Soup Suppers,Music groups,Outreach from staff/members",,"Traditional organ music,Contemporary music,Instrumental music",,,Other (please explain),not sure I can prioritize,"70-79 ","11-15 years ",
2025-10-19 14:15:21,2025-10-19 14:16:14,IP Address,208.38.228.17,100,53,True,2025-10-19 14:16:14,R_7otBvuSXPK0wuTf,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Sunday School/Student Fellowship",,Saturday 5 pm,Always,Always,"Bible Studies,Sunday School/Confirmation/Youth Programming",,Traditional organ music,,,,,"70-79 ","Over 20 years ",
2025-10-19 14:16:38,2025-10-19 14:19:00,IP Address,208.38.228.17,100,142,True,2025-10-19 14:19:00,R_1l0iU2pZ2HRMSbs,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Fellowship,Sunday School/Student Fellowship",,Sunday 11 am,Usually,Rarely,Sunday School/Confirmation/Youth Programming,,"Traditional organ music,Instrumental music",,classes are small - is there a way to grow this part of church,"Sunday School Programming,Young Family Programming,Bible Studies,Other (please explain)",young womens bible study,"30-39 ","11-15 years ","Would like to see more opportunities for bringing young families to church. Womens bible study geared towards young parents (connection groups) would be great.
"
2025-10-20 08:55:54,2025-10-20 09:00:10,IP Address,217.180.230.194,100,255,True,2025-10-20 09:00:11,R_6R8YBwtkyDeqdyb,,,,,42.0161,-93.444,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Usually,Usually,"Bible Studies,Sunday School/Confirmation/Youth Programming,Congregational Meals,Family Events,Soup Suppers,Volunteering for service projects",,"Traditional organ music,Instrumental music",,I think it would be cool to tie the Sunday lessons together between the levels of Sunday school to Adult Bible study to hopefully get more of the parents to stay around but also give them a chance to talk with their kids afterwards about the Bible and what they learned.,"Young Family Programming,Bible Studies,Mission work/support",,"20-29 ","1-5 years ",
2025-10-20 12:51:57,2025-10-20 12:58:00,IP Address,206.127.186.33,100,362,True,2025-10-20 12:58:00,R_1fW3aejsAZy3n4c,,,,,41.5876,-93.6194,qr,EN,Satisfied,"Spiritual Message,Sunday School/Student Fellowship",,Sunday 8:30 am,Sometimes,Sometimes,"Bible Studies,Congregational Meals,Family Events,Soup Suppers,Outreach from staff/members",,"Traditional organ music,Contemporary music,Instrumental music",,Have a better curriculum for Sunday School and provide more structure. It seems too chaotic and no organization of lesson flow between weeks. It seems like whatever old crafts are left over from vbs or other church events are just used on Sunday School kids. My child can't tell me something they learned each week except for doing a new craft.,"Sunday School Programming,Young Family Programming,Bible Studies",,"30-39 ","6-10 years ",Thank you for guiding the congregation in their relationship with Christ.
2025-10-20 14:00:27,2025-10-20 14:03:04,IP Address,129.186.192.34,100,156,True,2025-10-20 14:03:04,R_1dv5WAxkCEzm1TM,,,,,42.0373,-93.6005,qr,EN,Very satisfied," Worship,Fellowship,Sunday School/Student Fellowship",,Sunday 11 am,Sometimes,Usually,Bible Studies,,Traditional organ music,,,"Campus Ministry,Young adult ministry",,"Under 20 ",Less than 1 year,
2025-10-20 15:37:45,2025-10-20 15:44:22,IP Address,172.225.130.11,100,396,True,2025-10-20 15:44:23,R_5gZUAiqd4jOHnCL,,,,,41.8835,-87.6305,qr,EN,," Worship,Fellowship",,Sunday 8:30 am,Usually,Always,"Sunday School/Confirmation/Youth Programming,Volunteering for service projects,Other",Fellowship time,"Traditional organ music,Instrumental music,Live performances",,"More organized activities with other local youth groups for middle and high schoolers.  We don’t have very many active students and so they need the opportunity to fellowship with other believers their age.

Updated Sunday School materials to better reflect how our kids speak and relate to each other (the videos shown are generally very helpful).","Sunday School Programming,Youth Programming,Young Family Programming,Ministry to retirees,Other (please explain)",Volunteer work to support local church,"30-39 ","1-5 years ","The international ministry and the rest of the church seem very separate "
2025-10-20 16:39:48,2025-10-20 17:52:06,IP Address,152.117.104.155,100,4338,True,2025-10-20 17:52:07,R_178WY4rVATRPXSV,,,,,42.0373,-93.6005,qr,EN,Very dissatisfied," Worship,Fellowship,Sunday School/Student Fellowship",,Sunday 8:30 am,Always,Sometimes,"Sunday School/Confirmation/Youth Programming,Congregational Meals,Family Events,Volunteering for service projects,Music groups,Other",,"Traditional organ music,Instrumental music,Live performances",,"An updated curriculum would would be great. The videos are good, the lessons are out-of-date.","Sunday School Programming,Youth Programming,Young Family Programming,Bible Studies,Other (please explain)",Church community,"40-49 ","1-5 years ","Some things I would love to see more of:
1. Ministry to the elderly in our church - yard cleanup, tech assistance, etc
2. Expansion of mentoring of the youth beyond confirmation prayer pals
3. Family events for just the church community (I love our international ministry, but we need time to connect as a community)
4. Bible studies and other community activities at times when people with full-time jobs can attend
5. Ministries which are run by, and integrated into the church, and not solely run by staff members
6. Collaboration between existing church leadership and younger church members to run programming, IT, international ministries, church maintenance, organ maintenance, etc
7. Visibility for the whole church membership of what it takes to run the church
8. Church involvement might be better done through more than just an annual survey. Maybe a yearly ""involvement"" fair or something. This would also help make how the church runs more visible to the membership.

A concern I have, having been through significant changes at other churches is to ensure our church runs on a strong community (which builds and participates in programs) and not programs which people are encouraged to participate in.

It might be a good idea to do background checks on the people who teach the kids."
2025-10-21 13:43:52,2025-10-21 13:46:13,IP Address,174.235.211.255,100,140,True,2025-10-21 13:46:13,R_3CDvyioa8KTHbqG,,,,,41.2093,-96.0548,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Saturday 5 pm,Usually,Always,"Congregational Meals,Soup Suppers",,Traditional organ music,,,"Bible Studies,Ministry to retirees",,"70-79 ","Over 20 years ",
2025-10-22 09:06:59,2025-10-22 09:10:27,IP Address,172.56.11.188,100,207,True,2025-10-22 09:10:27,R_1hGauCjUp7J6RuQ,,,,,44.9618,-93.2638,anonymous,EN,Very satisfied," Worship,Other (Please describe)",Men's Bible Study,Sunday 8:30 am,Usually,Usually,Bible Studies,,"Traditional organ music,Instrumental music",,,"Campus Ministry,Ministry to international students and families",,80+,"Over 20 years ",
2025-10-22 09:26:47,2025-10-22 09:29:11,IP Address,173.20.96.17,100,144,True,2025-10-22 09:29:12,R_5t2sTwI4tHkLAT7,,,,,42.0514,-93.6908,anonymous,EN,," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Usually,Usually,Bible Studies,,"Traditional organ music,Instrumental music",,,"Youth Programming,Campus Ministry,Ministry to retirees",,"70-79 ","6-10 years ",
2025-10-22 09:31:48,2025-10-22 09:36:51,IP Address,172.225.216.251,100,303,True,2025-10-22 09:36:52,R_5ojohYHc4vogqJw,,,,,41.6015,-93.6127,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Always,Always,"Bible Studies,Soup Suppers,Music groups",,"Traditional organ music,Instrumental music",,"Community involvement ","Sunday School Programming,Bible Studies,Outreach",,"70-79 ","Over 20 years ",
2025-10-22 10:11:26,2025-10-22 10:14:29,IP Address,173.22.73.184,100,183,True,2025-10-22 10:14:29,R_30Y8Ap5FOUCwm1R,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message",,Sunday 8:30 am,Always,Usually,"Volunteering for service projects,Outreach from staff/members",,"Traditional organ music,Contemporary music",,,,,"70-79 ","Over 20 years ",
2025-10-22 10:14:46,2025-10-22 10:14:55,IP Address,173.22.73.184,100,8,True,2025-10-22 10:14:55,R_1rNtfTgkCRrsVQw,,,,,42.0373,-93.6005,anonymous,EN,,,,,,,,,,,,,,,,
2025-10-22 10:32:20,2025-10-22 10:34:30,IP Address,75.162.25.16,100,129,True,2025-10-22 10:34:30,R_50U58I2nRaMPGj1,,,,,41.5515,-93.5804,anonymous,EN,Satisfied," Worship,Fellowship",,Saturday 5 pm,Sometimes,Sometimes,Outreach from staff/members,,Traditional organ music,,,"Youth Programming,Young adult ministry",,"50-59 ","Over 20 years ",
2025-10-22 13:22:59,2025-10-22 13:26:37,IP Address,97.125.30.235,100,218,True,2025-10-22 13:26:38,R_7GjMDMYFHDwjT5E,,,,,41.488,-93.7521,anonymous,EN,,,,,,,,,,,,,,,,
2025-10-22 20:58:18,2025-10-22 21:02:34,IP Address,152.117.104.128,100,255,True,2025-10-22 21:02:34,R_7oqcQ1aQlgZy97I,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities",,Saturday 5 pm,Always,Always,,,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,"Campus Ministry,Ministry to international students and families,Mission work/support",,"70-79 ","Over 20 years ",
2025-10-23 20:26:22,2025-10-23 20:30:13,IP Address,173.22.73.184,100,230,True,2025-10-23 20:30:13,R_6DGtuDGhELeJmH7,,,,,42.0373,-93.6005,anonymous,EN,,,,,,,,,,,,,,,,
2025-10-23 20:30:29,2025-10-23 20:34:56,IP Address,173.22.73.184,100,267,True,2025-10-23 20:34:56,R_1MmbuE8IGbLDz6W,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Always,Usually,"Bible Studies,Congregational Meals,Volunteering for service projects",,"Traditional organ music,Instrumental music,Live performances",,,"Youth Programming,Campus Ministry,Ministry to international students and families,Young adult ministry",,"70-79 ","Over 20 years ",
2025-10-23 21:50:16,2025-10-23 22:00:23,IP Address,174.234.163.112,100,606,True,2025-10-23 22:00:23,R_7H6JUBOtFfY3vN7,,,,,41.2442,-95.9599,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities",,Sunday 8:30 am,Always,Always,"Congregational Meals,Soup Suppers,Volunteering for service projects,Other","Altar Chancel ","Traditional organ music,Contemporary music,Instrumental music,Live performances,Other","Youth performance ",?,"Sunday School Programming,Youth Programming,Young Family Programming",,"70-79 ","Over 20 years ",
2025-10-26 09:58:06,2025-10-26 10:03:10,IP Address,143.105.243.46,100,304,True,2025-10-26 10:03:11,R_3QKvKaryvHdPKfg,,,,,39.1027,-94.5778,anonymous,EN,Very satisfied," Worship,Spiritual Message",,Online,Usually,Sometimes,,,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,"Ministry to international students and families,Young adult ministry",,"60-69 ","Over 20 years ",Please continue online worship opportunities.  It is a lifeline.
2025-10-26 10:01:27,2025-10-26 10:07:11,IP Address,174.198.65.214,100,343,True,2025-10-26 10:07:11,R_572qIi1mir7REjq,,,,,41.2324,-95.8751,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities",,Sunday 8:30 am,Always,Usually,"Congregational Meals,Soup Suppers",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,"Bible Studies,Other (please explain)","We would like a bible study for married couples, or for women/ men who are not at the stage to attend the men’s and women’s bible studies during the mornings.","50-59 ","1-5 years ","My husband and I have just become members within the last year, although we have attended on and off previously.  We plan to attend more coffee fellowship and Sunday morning bible study to meet other parishioners and become more involved in our church community."
2025-10-27 12:59:56,2025-10-27 14:03:37,IP Address,152.117.104.185,100,3820,True,2025-10-27 14:03:37,R_3EreZcBPxCmRre9,,,,,42.0373,-93.6005,anonymous,EN,Neither satisfied nor dissatisfied," Worship,Spiritual Message,Other (Please describe)","Exceptional music. Memorial is blessed with tremendously gifted/skilled musicians. ",Sunday 8:30 am,Usually,Sometimes,"Soup Suppers,Music groups,Other",I'd really like a small group / bible study that I could get to know people better,"Traditional organ music,Contemporary music,Instrumental music",,"I would like to see Memorial commit to supporting another full-time church worker. The LCMS trains men and women in many areas to lead. I would like to see us support our pastors and current ministries, create another position that can take a lead in Sunday School / youth / confirmation / family ministry. Let's take a leap. Not a partial leap. But a full leap.","Sunday School Programming,Young Family Programming,Bible Studies,Other (please explain)",Community building,"50-59 ","Over 20 years ","I'm a little torn on some of my answers (I don't believe I have it all figured-out. I trust the wisdom of those who know more) and honestly, I'm tired of some of these questions. I've been at Memorial long enough to know that these surveys come out, I answer them, or I participate in small group discussions, and the results fall flat. We've lacked the leadership to actually make changes. I want you to know I am praying for you. I pray the board can prayerfully move forward and make changes that benefit the church as a whole.

Community: I long for community. I come to church faithfully for over 30 years. And yet, I do not feel like there is anyone I could call if I had an emergency aside from the pastors. I don't want to switch churches/denominations just to have friends. I'd like to see the church take a hard look at how to successfully build a vibrant church community. 


Pastors: I think we ask a lot of our pastors. I actually think we ask too much of them. That's why I'd like to see us hire another full time employee. Let's boldly ask God to help us grow ministries beyond our vision.

I feel like we have a tendency NOT to spend money if there's a way we can get by. And while I appreciate the desire to use the gifts of people in the church -- I think people are just so busy. Tired. And honestly, possibly feeling inadequate to do whatever it being asked. We have biblically-illiterate members -- as a whole. It would make sense that people don't feel educated enough to teach or lead. Think about it, we value the education our pastors and other church workers go through before receiving calls, but when it come to parishioners, we want them to take leadership roles trusting that they have enough biblical / Lutheran heritage knowledge to do so. But maybe they don't. That seems like an unfair request. I'm sure if people felt confident, they'd love to share their skills and knowledge.

Related to focus: In my time at Memorial, I've gotten the feeling that we, as a governing whole, think if we put more effort or focus into a certain group of our church, the others will fail. Kind of as though God is limiting our ministries and somehow we get to decide who is most deserving. That seems a little off to me. I think God has the ability to bless as many ministries as he sees fit. To say we need to focus on one ministry, does not take away from the other ministries. I would never want to take away the student ministries. I would never want to take away the international ministries. But let's not be afraid to address the others. Our mission is everywhere to everyone. We need to watch and listen and pray and faithfully act. "
2025-10-27 18:10:26,2025-10-27 18:23:04,IP Address,67.55.151.222,100,757,True,2025-10-27 18:23:05,R_3ek1sQwHtQz0IzC,,,,,42.4597,-93.8109,qr,EN,Very satisfied,"Spiritual Message,Fellowship,Other (Please describe)",Special music,Sunday 8:30 am,Sometimes,Sometimes,"Soup Suppers,Volunteering for service projects,Outreach from staff/members",,"Traditional organ music,Instrumental music",,The SS curriculum seems a little out of date. Youth need strong leadership and the ability to say no to other activities & be able to participate on Wednesdays. I like the servant events as part of confirmation,"Sunday School Programming,Youth Programming,Young adult ministry",,"40-49 ","6-10 years ","It would be nice to get back to greeting each other post covid. It doesn’t have to be a hand shake, but getting a welcome from the pastor to start the service & then to welcome each other has been lost. Some want & need that interaction & touch as an enhancement to worship. I think we need a laminated card by the communion cards for visitors, explaining how offering & communion work. (Eg: juice in center of tray & gluten free wafer options) Where is the nursery & family bathroom. This is the first year I have had follow up from completing a survey. Serving is our purpose & to feel those willing are overlooked for those who have ‘always done it’ is less than encouraging & potentially leaves others less willing. Thank you for doing this! "
2025-10-27 18:17:01,2025-10-27 18:23:53,IP Address,67.55.151.222,100,412,True,2025-10-27 18:23:53,R_7rIXnNgINiHily8,,,,,42.4597,-93.8109,qr,EN,Satisfied," Worship,Fellowship",,Sunday 8:30 am,Sometimes,Rarely,,,Traditional organ music,,,"Sunday School Programming,Youth Programming,Young Family Programming",,"50-59 ","16-20 years ",We need to do more support within the local community. We hear alot about what we help support in Kenya and other countries but I feel we don’t do nearly enough to help our local people in need.
