StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q4,Q5,Q6,Q6_10_TEXT,Q7,Q7_5_TEXT,Q8,Q9,Q9_12_TEXT,Q10,Q11,Q12
2025-10-27 18:31:16,2025-10-27 18:48:36,IP Address,198.153.106.219,100,1040,True,2025-10-27 18:48:37,R_1VcI0fqnvFcO5d7,,,,,42.1139,-93.156,qr,EN,Very dissatisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Sometimes,Usually,"Sunday School/Confirmation/Youth Programming,Volunteering for service projects,Music groups",,Traditional organ music,,"A structured Sunday School curriculum from CPH. For confirmation classes, a solid instruction and testing of the Small Catechism, including what makes the LCMS stand out from others as an exceptional church body.","Sunday School Programming,Youth Programming,Young Family Programming",,"40-49 ","6-10 years ","Somehow, current members need to be encouraged and/or instructed to warmly welcome visitors or unfamiliar faces."
2025-10-28 20:34:18,2025-10-28 20:37:57,IP Address,75.219.126.40,100,219,True,2025-10-28 20:37:58,R_7tzKKTrTh5sKlJe,,,,,41.2671,-96.0378,qr,EN,Satisfied," Worship",,Sunday 8:30 am,Usually,Usually,Volunteering for service projects,,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,"Sunday School Programming,Young Family Programming,Young adult ministry",,"70-79 ","16-20 years ",
2025-10-29 10:44:18,2025-10-29 10:51:49,IP Address,208.38.228.54,100,451,True,2025-10-29 10:51:50,R_1KUFFjJGHF7UhN3,,,,,42.0373,-93.6005,qr,EN,Very satisfied,Spiritual Message,,Saturday 5 pm,Usually,Sometimes,Volunteering for service projects,,Contemporary music,,"More fun activities ","Youth Programming,Campus Ministry,Young adult ministry",,"50-59 ","Over 20 years ",
2025-10-29 18:02:26,2025-10-29 18:06:56,IP Address,152.117.104.143,100,270,True,2025-10-29 18:06:56,R_5IttVZEsOUdNOod,,,,,42.0373,-93.6005,qr,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Other (Please describe)","Music ",Sunday 11 am,Always,Always,"Congregational Meals,Soup Suppers",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,,,"60-69 ","Over 20 years ",
2025-10-30 14:26:33,2025-10-30 14:29:57,IP Address,152.117.106.38,100,204,True,2025-10-30 14:29:58,R_5fm17LyEFULpPPh,,,,,42.0373,-93.6005,anonymous,EN,Satisfied,"Spiritual Message,Fellowship,Sunday School/Student Fellowship",,Sunday 11 am,Usually,Sometimes,"Bible Studies,Congregational Meals,Music groups",,"Traditional organ music,Instrumental music",,,"Young Family Programming,Outreach,Young adult ministry",,"20-29 ","1-5 years ",
2025-10-31 10:38:11,2025-10-31 10:43:26,IP Address,152.117.104.201,100,314,True,2025-10-31 10:43:26,R_6LZXCKo02cEaeSl,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied,"Spiritual Message,Fellowship,Other (Please describe)",Bible study,Sunday 8:30 am,Usually,Always,"Bible Studies,Congregational Meals,Music groups,Outreach from staff/members",,"Traditional organ music,Contemporary music,Instrumental music",,,"Youth Programming,Campus Ministry,Ministry to international students and families",,"20-29 ","1-5 years ",
2025-10-31 10:51:35,2025-10-31 10:54:11,IP Address,152.117.104.185,100,155,True,2025-10-31 10:54:12,R_14iOyaKS2zpgcWB,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Fellowship",,Sunday 8:30 am,Always,Usually,"Bible Studies,Volunteering for service projects",,"Traditional organ music,Instrumental music",,,"Sunday School Programming,Youth Programming,Young adult ministry",,80+,"Over 20 years ",
2025-10-31 10:51:56,2025-10-31 10:54:50,IP Address,4.4.205.254,100,173,True,2025-10-31 10:54:51,R_7Envb7tk57iZ9sQ,,,,,42.0514,-93.6908,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 11 am,Usually,Sometimes,Sunday School/Confirmation/Youth Programming,,"Traditional organ music,Contemporary music",,,"Mission work/support,Other (please explain)",new families to the church,"50-59 ","1-5 years ",
2025-10-31 11:14:21,2025-10-31 11:21:18,IP Address,173.20.99.231,100,417,True,2025-10-31 11:21:19,R_7Ej4LrfPFK6cwDF,,,,,42.0373,-93.6005,anonymous,EN,Neither satisfied nor dissatisfied," Worship,Fellowship",,Sunday 8:30 am,Usually,Usually,,,"Traditional organ music,Contemporary music,Instrumental music",,,"Youth Programming,Young Family Programming,Young adult ministry",,80+,"Over 20 years ","Reaching out to young members with programs activities that are welcoming and engaging. "
2025-10-31 11:21:33,2025-10-31 11:21:45,IP Address,173.20.99.231,100,11,True,2025-10-31 11:21:45,R_5ONlDi8rJUuzm94,,,,,42.0373,-93.6005,anonymous,EN,,,,,,,,,,,,,,,,
2025-10-31 11:29:42,2025-10-31 11:35:41,IP Address,167.142.43.31,100,358,True,2025-10-31 11:35:41,R_5z7uztvtFacRuIF,,,,,42.0391,-94.0277,qr,EN,Very satisfied," Worship,Spiritual Message,Other (Please describe)",Worshipping with the college students,Sunday 8:30 am,Usually,Sometimes,"Soup Suppers,Other",Funeral Committee,"Traditional organ music,Instrumental music,Other",Piano music,,"Campus Ministry,Ministry to international students and families,Mission work/support",,"50-59 ","Over 20 years ","If the congregation wishes to continue serving meals for funerals, advent, lent, potlucks, etc the kitchen needs a major remodel. "
2025-10-31 11:35:16,2025-10-31 11:39:29,IP Address,209.79.168.42,100,252,True,2025-10-31 11:39:29,R_1BS0W9Xqw2q51g7,,,,,41.2341,-96.169,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Sunday School/Student Fellowship",,Sunday 8:30 am,Usually,Always,Sunday School/Confirmation/Youth Programming,,Traditional organ music,,"I would say only make it 30 mins. I think 1 hour for young kids is a long time to keep their attention and understand the message. ","Sunday School Programming,Youth Programming,Bible Studies",,"40-49 ","16-20 years ",
2025-10-31 12:31:23,2025-10-31 12:33:14,IP Address,208.126.14.248,100,110,True,2025-10-31 12:33:15,R_1GDLZsTm5zRei7v,,,,,42.3128,-93.5788,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship",,Sunday 11 am,Always,Usually,"Bible Studies,Sunday School/Confirmation/Youth Programming,Family Events",,"Traditional organ music,Instrumental music",,,"Sunday School Programming,Youth Programming,Bible Studies,Campus Ministry",,"30-39 ","16-20 years ",
2025-11-01 06:27:24,2025-11-01 06:30:44,IP Address,75.162.99.105,100,200,True,2025-11-01 06:30:45,R_3tpJV0mpixsqJW1,,,,,41.5876,-93.6194,anonymous,EN,Very satisfied," Worship,Spiritual Message",,Sunday 8:30 am,Always,Usually,Bible Studies,,Other,All,,"Sunday School Programming,Youth Programming,Campus Ministry",,"70-79 ","Over 20 years ",
2025-11-01 08:36:56,2025-11-01 08:38:32,IP Address,75.162.41.137,100,95,True,2025-11-01 08:38:33,R_1qu2yUEC56rZmNj,,,,,41.5741,-93.8071,anonymous,EN,Very satisfied," Worship,Spiritual Message",,Sunday 11 am,Usually,Sometimes,,,"Traditional organ music,Contemporary music,Instrumental music",,,,,"50-59 ","6-10 years ",
2025-11-01 12:08:35,2025-11-01 12:11:23,IP Address,172.58.10.34,100,167,True,2025-11-01 12:11:23,R_1PTffYW9MMjNLQP,,,,,44.9834,-93.2622,anonymous,EN,Satisfied," Worship,Spiritual Message,Other (Please describe)",The music,Sunday 8:30 am,Usually,Sometimes,,,"Traditional organ music,Instrumental music,Live performances,Other",Not a fan of Christian rock music,,,,"70-79 ","11-15 years ",
2025-11-01 11:04:32,2025-11-01 12:21:14,IP Address,172.226.170.13,100,4602,True,2025-11-01 12:21:15,R_6LAP6k893XeUpsN,,,,,39.7684,-86.158,anonymous,EN,Satisfied," Worship,Spiritual Message,Other (Please describe)","I really look forward to church and worshiping my Lord. I think all announcements, reports, surveys should be held until after the closing hymn.  Then advertise for help and money all they want.  It a great time to address visitors and birthdays as well.",Sunday 8:30 am,Always,Always,"Bible Studies,Congregational Meals,Soup Suppers,Volunteering for service projects",,"Traditional organ music,Instrumental music",,"I think we are losing our youth on the gay issue.  They learn their friends are gay before we ever get around to talking to them about this issue. And then those choose their friends over their faith and church.  5th graders need to be better prepared for the issues they will face as a 6th grader. Prep class.  Same for 8th graders headed for high school. 
Emma has done a great job of trying to reach out to high school students. 
Would like to see more adults involved in Sunday School.  Bring Back Sunday school superintendents.  Pastor can focus on his other duties. ","Sunday School Programming,Youth Programming,Campus Ministry,Ministry to international students and families,Other (please explain)","All important. Get more people involved. All need improvement.  ","50-59 ","16-20 years ","I’d like to know if there is a desire for a men’s group Saturday morning 8 am group. "
2025-11-01 13:29:10,2025-11-01 13:39:17,IP Address,152.117.104.145,100,607,True,2025-11-01 13:39:18,R_3E68JWpVIKwD5ci,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Coffee hour/Refreshments",,Sunday 11 am,Usually,Always,"Bible Studies,Congregational Meals,Soup Suppers",,Other,all of above,,"Youth Programming,Campus Ministry",,80+,"Over 20 years ","Why do we keep the lounge doors locked?  It seems so uninviting to me; however, maybe in today's climate it is necessary. It would be great to have students enjoy that space as they did years ago."
2025-11-01 14:51:34,2025-11-01 14:56:44,IP Address,173.28.109.113,100,309,True,2025-11-01 14:56:44,R_6ZuUM6ZCPVeyJCV,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied,"Spiritual Message,Fellowship",,Saturday 5 pm,Always,Always,"Congregational Meals,Soup Suppers",,"Contemporary music,Other",Piano Music,,Young Family Programming,,80+,"Over 20 years ",
2025-11-01 15:39:31,2025-11-01 15:43:17,IP Address,173.215.75.140,100,225,True,2025-11-01 15:43:17,R_3ij8fHLaKZrma6l,,,,,42.0373,-93.6005,qr,EN,Very satisfied," Worship,Spiritual Message,Other (Please describe)",Music,Sunday 8:30 am,Usually,Sometimes,Music groups,,"Traditional organ music,Instrumental music",,Na,"Young Family Programming,Young adult ministry",,"60-69 ","Over 20 years ",
2025-11-01 16:25:45,2025-11-01 16:32:53,IP Address,208.38.228.55,100,428,True,2025-11-01 16:32:53,R_6sgKB6hng8W0RQ2,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 11 am,Usually,Usually,"Bible Studies,Soup Suppers,Volunteering for service projects,Music groups",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,Grandkids have enjoyed VBS for a few years. Prefer it to their own church's. Theyre hoping we'll bring back the Lego table.,"Sunday School Programming,Young Family Programming,Ministry to international students and families",,"60-69 ","Over 20 years ",Continue praying for guidance and listening to member feedback
2025-11-01 21:08:13,2025-11-01 21:23:58,IP Address,38.191.1.39,100,945,True,2025-11-01 21:23:59,R_6UMcpsZv05ocBRD,,,,,41.9015,-93.5998,anonymous,EN,Neither satisfied nor dissatisfied," Worship,Spiritual Message",,Sunday 8:30 am,Usually,Sometimes,,,"Traditional organ music,Contemporary music",,,"Young adult ministry,Ministry to retirees",,"50-59 ","Over 20 years ",
2025-11-01 21:24:25,2025-11-01 21:29:59,IP Address,38.191.1.39,100,334,True,2025-11-01 21:29:59,R_76GxWVggwxMsq0F,,,,,41.9015,-93.5998,anonymous,EN,Neither satisfied nor dissatisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments",,Sunday 8:30 am,Usually,Usually,Outreach from staff/members,,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,"Youth Programming,Young Family Programming",,"50-59 ","Over 20 years ",
2025-11-01 21:54:48,2025-11-01 21:57:19,IP Address,173.28.84.67,100,151,True,2025-11-01 21:57:20,R_3V5OCw9XINsJG0N,,,,,42.4169,-90.4186,anonymous,EN,Satisfied," Worship",,Sunday 8:30 am,Usually,Usually,"Congregational Meals,Outreach from staff/members",,"Traditional organ music,Instrumental music,Live performances",,,"Sunday School Programming,Youth Programming,Young Family Programming,Young adult ministry",,"30-39 ","11-15 years ",
2025-11-01 21:40:24,2025-11-01 22:44:13,IP Address,152.117.104.232,100,3828,True,2025-11-01 22:44:13,R_3IFpLxQBgREgWOm,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Fellowship",,Sunday 8:30 am,Sometimes,Always,"Outreach from staff/members,Other",Fellowship on Sunday mornings. Volunteering with others at church (example: ushering.),"Traditional organ music,Contemporary music,Instrumental music",,,"Young Family Programming,Campus Ministry,Ministry to retirees",,"20-29 ","6-10 years ","'-More structured program for volunteering in the church (ushers, greeters, readers, sound/screen, counters, etc.) Clearly defined expectations and consistent communication and outreach for volunteers. This may help remove barriers and make it more inviting for people to serve together in the church and get to know one another.
-Slowing down the pace of our worship service in order to avoid feeling like we’re rushing through and just going through the motions. One example, slowing down how fast words are spoken.
-More could be done to connect members with each other, create community, grow relationships, etc. "
2025-11-01 20:40:15,2025-11-01 22:44:37,IP Address,152.117.104.232,100,7462,True,2025-11-01 22:44:38,R_11thiYQcpfDKmsh,,,,,41.2671,-96.0378,anonymous,EN,Very satisfied," Worship,Fellowship",,Sunday 8:30 am,Sometimes,Usually,"Outreach from staff/members,Other",Conversations with other church members,"Traditional organ music,Contemporary music",,,"Young Family Programming,Campus Ministry,Outreach,Young adult ministry",,"20-29 ","Over 20 years ","I think it is important to help people feel connected and have others to lean on in their church community, and I feel this could be an area of growth. I feel that sometimes aspects of the church service that occur every week feel rushed or brushed over, ex. confession of sins."
2025-11-02 10:46:47,2025-11-02 10:49:00,IP Address,172.58.14.51,100,133,True,2025-11-02 10:49:00,R_7Rt2cqWoz69e7hr,,,,,45.0546,-93.2566,qr,EN,Very satisfied," Worship",,Sunday 11 am,Usually,Always,"Bible Studies,Congregational Meals,Family Events",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,"Young Family Programming,Campus Ministry,Mission work/support",,"30-39 ","1-5 years ",
2025-11-02 14:43:00,2025-11-02 14:44:31,IP Address,174.234.161.173,100,90,True,2025-11-02 14:44:32,R_5GO1Qdrxgcd5COp,,,,,41.2093,-96.0548,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship,Other (Please describe)",Bible-based,Online,Always,Always,,,Traditional organ music,,,,,,"Over 20 years ",
2025-11-02 14:58:19,2025-11-02 15:34:46,IP Address,208.38.228.17,100,2187,True,2025-11-02 15:34:47,R_624LvcU3uGxvyQz,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message",,Sunday 8:30 am,Sometimes,Usually,"International English Classes,Other",Conversations with members at or outside of church,Traditional organ music,,,"Youth Programming,Campus Ministry,Ministry to international students and families",,"60-69 ","Over 20 years ","I prefer traditional to creative (newly devised) liturgies.  I would suggest that the creative liturgies be re-used sparingly because unlike the language of creative liturgies can quietly grow stale.

I would like to see fewer typos, missing words, and similar errors in prayers that appear on the screen.  These can be very confusing and distracting.
"
2025-11-02 15:57:50,2025-11-02 16:02:49,IP Address,208.38.228.17,100,299,True,2025-11-02 16:02:50,R_7C5NjSTDju5hkZP,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Other (Please describe)",music,Sunday 8:30 am,Usually,Always,"Bible Studies,Congregational Meals,Soup Suppers,Volunteering for service projects,Music groups",,"Traditional organ music,Instrumental music,Live performances,Other",Choir,"Involve college students if they have time.  My sons really connected with Beta Sigs who helped with older classes.
",,,"70-79 ","Over 20 years ","I think we should improve our coffee hour, so we can invite guests we meet or who introduce themselves to the pastor.  Coffee hour should be a form of outreach.  It shouldnt just be a time of fellowship for long time members.
"
2025-11-02 16:04:39,2025-11-02 16:06:59,IP Address,208.38.228.17,100,139,True,2025-11-02 16:07:00,R_1eHBoL9vB8iARsR,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Coffee hour/Refreshments",,Sunday 8:30 am,Always,Sometimes,"Bible Studies,Congregational Meals,Soup Suppers,Other",Listening to music - organists choir brass singing hyms from hymnal,"Traditional organ music,Instrumental music,Live performances,Other",hyms from hymnbooks,keep doing what you are doing,Youth Programming,,"70-79 ","1-5 years ",Maybe try a potluck dinner.  Coffee water lemonade provided.
2025-11-02 16:07:37,2025-11-02 16:11:11,IP Address,208.38.228.17,100,213,True,2025-11-02 16:11:12,R_5f40mmupkNftobv,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Fellowship,Sunday School/Student Fellowship",,Sunday 11 am,Usually,Usually,"Bible Studies,Sunday School/Confirmation/Youth Programming,Family Events,Music groups",,"Traditional organ music,Instrumental music,Other",especially the brass ensemble,"I have two little children and they both enjoy Sunday school.  I think the 10-15 min singing before Sunday School is especially nice. I do with there was a childrens sermon sometimes during the 2nd service but I also realize there are always alot of children.  ",,,"40-49 ","11-15 years ",I dont like that the 2nd service becomes informal during the summer.  I wish more of the liturgy and hymns would be kept.
2025-11-01 07:51:58,2025-11-03 21:11:14,IP Address,152.117.104.253,100,224355,True,2025-11-03 21:11:14,R_6s0u9GnjurSfOKP,,,,,42.0373,-93.6005,anonymous,EN,Neither satisfied nor dissatisfied,Fellowship,,Saturday 5 pm,Rarely,Usually,Volunteering for service projects,,Traditional organ music,,"Summer Sunday School packets are not necessary. Could follow a national Sunday School program with materials and craft ideas. ","Sunday School Programming,Youth Programming,Young Family Programming",,"50-59 ","Over 20 years ",
2025-11-09 12:44:11,2025-11-09 12:45:37,IP Address,208.38.228.17,100,85,True,2025-11-09 12:45:37,R_14jDnqK80sBJVoM,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Usually,Always,Soup Suppers,,Traditional organ music,,,Sunday School Programming,,,"Over 20 years ",would prefer Lenten & Advent services on Wednesday evening not Thursday
2025-11-09 12:45:56,2025-11-09 12:55:34,IP Address,208.38.228.17,100,578,True,2025-11-09 12:55:35,R_6bAWelZpYxSfWql,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship,Other (Please describe)","Bible study, choir events to interest college students and members",Sunday 8:30 am,Always,Always,"Bible Studies,Congregational Meals,Family Events,Soup Suppers,Music groups,Outreach from staff/members,Other",staff and pastors are always available.  I appreciate it.,"Traditional organ music,Contemporary music,Instrumental music,Live performances,Other","I enjoy all the music.  It is a part of fellowship both as a listener and a participant.  It brings everyone together and brings me joy.  ","We have a wonderful program with teachers who love to share their faith in the SS lessons every week.  ","Sunday School Programming,Ministry to international students and families",,80+,"Over 20 years ","When we came to Memorial years ago we were welcomed and felt included and supported.  My prayer is that we continue to provide fellowship for our members, visitors and their families. "
2025-11-09 12:55:48,2025-11-09 12:58:04,IP Address,208.38.228.17,100,136,True,2025-11-09 12:58:05,R_7tGavkTqE2N3kPI,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Always,Always,"Bible Studies,Congregational Meals,Soup Suppers,Volunteering for service projects",,"Traditional organ music,Contemporary music,Instrumental music,Other",the variety is nice,,"Sunday School Programming,Campus Ministry,Ministry to international students and families",,"70-79 ","1-5 years ","Memorial is a very welcoming congregation and that starts with pastor & staff and continues through the members.  I hope this continues.  We all need to do our part to keep this happening.
"
2025-11-09 12:58:31,2025-11-09 12:59:59,IP Address,208.38.228.17,100,87,True,2025-11-09 12:59:59,R_6608YHXctCZwegF,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments",,Sunday 8:30 am,Always,Always,"Bible Studies,Congregational Meals,Soup Suppers",,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,continue to make available,"Young Family Programming,Campus Ministry,Young adult ministry",,80+,"Over 20 years ",
2025-11-09 13:00:05,2025-11-09 13:08:10,IP Address,208.38.228.17,100,484,True,2025-11-09 13:08:10,R_3itiuzc343xuN6u,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship,Coffee hour/Refreshments",,Sunday 8:30 am,Usually,Usually,"Bible Studies,Congregational Meals,Soup Suppers,Volunteering for service projects,Outreach from staff/members",,"Traditional organ music,Instrumental music,Live performances",,Encourage/ask members and retired school teacher to be involved with SS to help offer insight.  Maybe have parents take turns to help the teachers or to teach.  Keep youth engaged after activities; have educational activities.,"Sunday School Programming,Campus Ministry,Ministry to international students and families,Other (please explain)",,"70-79 ","Over 20 years ","I like that the service is live streamed and made availalbe on YouTube, keep it up.  Maybe update the church website a bit.  Encourage members old and new to be more involved with ushering, tech support, weekday odd projects, Sunday coffee and fellowship and property upkeep.
Remind people of parking options on busy Sundays.  Engage with those not attending or unable to attend.  Important to have college fellowship to keep them strong in their faith with friends or bring them to the faith.  Important to have international ministry and classes because these people are in Ames and the university even if for a short time.  Important to support and pray for missions that have a connection to Memorial. Encourage daily Bible reading, devotions, prayer at home.  Grow in our faith so that we can serve and share it in different ways.  Encourage the young adults just starting out, engage with retirees moving here and attending."
2025-11-09 13:08:30,2025-11-09 13:09:42,IP Address,208.38.228.17,100,72,True,2025-11-09 13:09:43,R_3l9N6hPTxjo5dd9,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Coffee hour/Refreshments",,Sunday 8:30 am,Usually,Always,"Soup Suppers,Music groups",,"Traditional organ music,Live performances",,,"Ministry to retirees,Other (please explain)",small group bible studies in homes,80+,"Over 20 years ",
2025-11-09 13:10:07,2025-11-09 13:22:29,IP Address,208.38.228.17,100,742,True,2025-11-09 13:22:29,R_6wzWp7zTu1Zsa0z,,,,,42.0373,-93.6005,anonymous,EN,Very satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Always,Always,Soup Suppers,,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,,Ministry to retirees,,80+,"Over 20 years ",
2025-11-09 13:23:02,2025-11-09 13:25:50,IP Address,208.38.228.17,100,167,True,2025-11-09 13:25:51,R_5bNITm2IqfssOGt,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Fellowship,Coffee hour/Refreshments,Other (Please describe)",Bible study,Sunday 8:30 am,Sometimes,Usually,"Bible Studies,Soup Suppers,Music groups",,"Traditional organ music,Instrumental music,Live performances,Other",Big fan of contemporary but not aware of any at the 8:30 service,I would suggest adding materials now and then - maybe once a month from Answers in Genesis,"Sunday School Programming,Youth Programming,Young Family Programming",,"70-79 ","11-15 years ","I started to check all the boxes in Q9 and then decided to stop because I would have checked them all, our clergy, staff and volunteers are already very busy!"
2025-11-09 13:26:08,2025-11-09 13:28:34,IP Address,208.38.228.17,100,146,True,2025-11-09 13:28:35,R_3wu7re6gejMYVH3,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship,Coffee hour/Refreshments,Other (Please describe)",Adult Bible study,Saturday 5 pm,Always,Sometimes,"Bible Studies,Congregational Meals,International English Classes,Volunteering for service projects,Music groups",,"Traditional organ music,Contemporary music,Instrumental music",,,"Bible Studies,Mission work/support,Outreach,Ministry to retirees",,"70-79 ","Over 20 years ","I sometimes feel like we have three seperate congregations.

Would like to see project compassion resumed as a reach out to the homebound or in retirement centers or assisted living.  And the projects made by the youth connected them to the elderly. 

Small group bible studies."
2025-11-09 13:28:55,2025-11-09 13:30:19,IP Address,208.38.228.17,100,84,True,2025-11-09 13:30:20,R_1LzMNFeY14AWh55,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities,Coffee hour/Refreshments,Sunday School/Student Fellowship,Other (Please describe)","choir, organ, brass",Sunday 8:30 am,Always,Usually,"Bible Studies,Soup Suppers,Music groups,Outreach from staff/members",,"Traditional organ music,Instrumental music,Live performances",,,"Young Family Programming,Bible Studies,Ministry to retirees",,"70-79 ","1-5 years ",Some sundays no offering plates are passed and so the opportunity to contribute can be lost.
2025-11-09 13:30:43,2025-11-09 13:31:22,IP Address,208.38.228.17,100,39,True,2025-11-09 13:31:23,R_3e9ecdyuPheK04Q,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship",,Sunday 8:30 am,Usually,Always,"Bible Studies,Soup Suppers,International English Classes",,Traditional organ music,,,"Sunday School Programming,Youth Programming,Young Family Programming",,,,
2025-11-09 13:31:48,2025-11-09 13:36:28,IP Address,208.38.228.17,100,279,True,2025-11-09 13:36:28,R_7NdlhGtlyt7YUfv,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship",,Sunday 11 am,Usually,Sometimes,"Soup Suppers,Outreach from staff/members,Other","prayer requests, praying for other members",Traditional organ music,,I would pray that each of these programs and classes by the Holy Spirit guidance help the young people see the application of Gods love in their daily lives and experiences trusting in our Saviors blessings.,"Sunday School Programming,Youth Programming,Ministry to retirees",,"60-69 ","Over 20 years ","Any Sunday that I miss church I lose an opportunity to worship and connect in my faith.  Memorial can't fix that by doing anything more except pray.  I truly appreciate the online worship option. Please keep that option.
Other LCMS congregations have Elders for connection with members.  I feel this might be a positive tool for strengthening.  Sometimes we have too much college student focus over families.  In the church's mission statement could it be reworded:  and the message of salvation with people of all ages, including families, college students, internationsl and singles enabling them.... "
2025-11-09 13:37:33,2025-11-09 13:52:06,IP Address,208.38.228.17,100,872,True,2025-11-09 13:52:08,R_7YgJ37dNiEkMVpT,,,,,42.0373,-93.6005,anonymous,EN,Satisfied," Worship,Spiritual Message,Fellowship,Hearing about church activities",,Sunday 8:30 am,Sometimes,Always,Volunteering for service projects,,"Traditional organ music,Contemporary music,Instrumental music,Live performances",,"I would like to see the SS program updated to be more organized and engaging for the students and the families.  It seems like we have a growning number of young families coming to the church and I think we need to support this program with staff resources and current materials that will keep families bringing their children to Sunday school and getting involved as parents.  ","Sunday School Programming,Youth Programming,Young Family Programming,Bible Studies,Mission work/support,Other (please explain)","I would like to see Memorial provide more support in our community. I think international ministry is good to support but not more important than what is happeing in our own community. ","50-59 ","Over 20 years ","I think Memorial is a wonderful church home and feel very blessed to be a part of the congregation.  I would like to see the church provide more opportunities for young families and young adults to be engaged in fellowship and worship beyond the services and classes we offer on Sunday morning.  We have so many tremendous mentors in our church that I think if provided more opportunities for connection between members we could continue to grow our membership and service to the local and international community.   "
